metadata	0	metadata		1163	4a311abbaa9ac3608998cceb8e5c8184a0d507a582aaf629a400c017151295a4	https://opentextbooks.library.arizona.edu/mathematicalmodeling/wp-json/pressbooks/v2/metadata
toc	0	toc		22634	e250c144f367d102dc4c808e092a744c3319a1dd0d816e5dfb78b00fc2e4f3e1	https://opentextbooks.library.arizona.edu/mathematicalmodeling/wp-json/pressbooks/v2/toc
front-matter	22	introduction-2	2024-06-29T02:46:15	11380	b8ab499c797f89f734b9179f8a82e3afe508cadabd62cd485f281348ade1f383	https://opentextbooks.library.arizona.edu/mathematicalmodeling/wp-json/pressbooks/v2/front-matter/22
parts	23	part-1-what-is-a-model	2024-06-29T02:56:19	2106	a5b7d445ca02f514b7b065dde2834ede1959c5eb256a2c6d31342c302276470b	https://opentextbooks.library.arizona.edu/mathematicalmodeling/wp-json/pressbooks/v2/parts/23
chapters	25	chapter-1	2026-03-27T02:08:36	37918	0286cb444c7f2f4a2db83865f948d3d3dc00147e2280fa665a1abc68ad804826	https://opentextbooks.library.arizona.edu/mathematicalmodeling/wp-json/pressbooks/v2/chapters/25
chapters	27	first-steps-modeling-the-wave	2026-03-27T02:10:41	39193	428a143edeec7843d3f4a2e2f02e5aa50fcde2cff366ca976988ecfa4191e69b	https://opentextbooks.library.arizona.edu/mathematicalmodeling/wp-json/pressbooks/v2/chapters/27
parts	28	part-2-models-from-classical-mechanics	2024-06-29T02:57:03	2296	03ead95b0ebcfb470c92bb7e48a85ce45d7639ec0aafb00f981eaf90ffd3f1e9	https://opentextbooks.library.arizona.edu/mathematicalmodeling/wp-json/pressbooks/v2/parts/28
chapters	38	the-nonlinear-pendulum	2026-03-27T02:14:38	128063	240a00176ea39c067c36393facf35308bdbee11925dbc293bad2ce33ca9c339c	https://opentextbooks.library.arizona.edu/mathematicalmodeling/wp-json/pressbooks/v2/chapters/38
chapters	39	stone-skipping	2026-03-19T21:51:57	71697	a1a31a51f76e7b4f74b8ed302b112acaad6bd87b0b9b5cb134676c5205b03e55	https://opentextbooks.library.arizona.edu/mathematicalmodeling/wp-json/pressbooks/v2/chapters/39
parts	40	part-3-population-dynamics-and-epidemiology	2024-06-29T02:57:20	5758	e0c7435af2c60d11f80eef9924934c335c93100cd86de57170820560797f9576	https://opentextbooks.library.arizona.edu/mathematicalmodeling/wp-json/pressbooks/v2/parts/40
